articulo,texto,tutela
115,"articulo 115. el presidente de la republica es jefe del estado, jefe del gobierno y",no
116,"articulo 116. la corte constitucional, la corte suprema de justicia, el consejo de",no
117,articulo 117. el ministerio publico y la controlaria general de la republica son organos,no
118,articulo 118. el ministerio publico sera ejercido por el procurador general de la,no
119,articulo 119. la controlaria general de la republica tiene a su cargo la vigilancia de la,no
120,articulo 120. la organizacion electoral esta conformada por el consejo nacional,no
121,articulo 121. ninguna autoridad del estado podra ejercer funciones distintas de las que                                      capitulo 2,no
122,articulo 122. no habra empleo publico que no tenga funciones detalladas en ley o,no
123,"articulo 123. son servidores publicos los miembros de las corporaciones publicas, los",no
124,articulo 124. la ley determinara la responsabilidad de los servidores publicos y la,no
125,articulo 125. los empleos en los organos y entidades del estado son de carrera. se,no
126,articulo 126. los servidores publicos no podran nombrar como empleados a personas,no
127,"articulo 127. los servidores publicos no podran celebrar, por si o por interpuesta",no
128,articulo 128. nadie podra desempenar simultaneamente mas de un empleo publico ni,no
129,"articulo 129. los servidores publicos no podran aceptar cargos, honores o",no
130,articulo 130. habra una comision nacional del servicio civil responsable de la,si
131,articulo 131. compete a la ley la reglamentacion del servicio publico que prestan los                                         titulo vi                                        capitulo 1,si
132,articulo 132. los senadores y los representantes seran elegidos para un periodo de,si
133,articulo 133. los miembros de cuerpos colegiados de eleccion directa representan al,si
134,articulo 134. las vacancias por faltas absolutas de los congresistas seran suplidas por,si
135,articulo 135. son facultades de cada camara:,si
136,articulo 136. se prohibe al congreso y a cada una de sus camaras:,si
137,articulo 137. cualquier comision permanente podra emplazar a toda persona natural o                                      capitulo 2,si
138,"articulo 138. el congreso, por derecho propio, se reunira en sesiones ordinarias,",si
139,articulo 139. las sesiones del congreso seran instaladas y clausuradas conjunta y,si
140,articulo 140. el congreso tiene su sede en la capital de la republica. las camaras,no
141,articulo 141. el congreso se reunira en un solo cuerpo unicamente para la instalacion,no
142,"articulo 142. cada camara elegira, para el respectivo periodo constitucional,",no
143,articulo 143. el senado de la republica y la camara de representantes podran,no
144,articulo 144. las sesiones de las camaras y de sus comisiones permanentes seran,no
145,"articulo 145. el congreso pleno, las camaras y sus comisiones no podran abrir",no
146,"articulo 146. en el congreso pleno, en las camaras y en sus comisiones permanentes,",no
147,articulo 147. las mesas directivas de las camaras y de sus comisiones permanentes,no
148,articulo 148. las normas sobre quorum y mayorias decisorias regiran tambien para las,no
149,"articulo 149. toda reunion de miembros del congreso que, con el proposito de ejercer                                        capitulo 3",no
150,articulo 150. corresponde al congreso hacer las leyes. por medio de ellas ejerce las,no
151,articulo 151. el congreso expedira leyes organicas a las cuales estara sujeto el,no
152,"articulo 152. mediante las leyes estatutarias, el congreso de la republica regulara las",no
153,"articulo 153. la aprobacion, modificacion o derogacion de las leyes estatutarias exigira",no
154,articulo 154. las leyes pueden tener origen en cualquiera de las camaras a propuesta,no
155,"articulo 155. podran presentar proyectos de ley o de reforma constitucional, un numero",no
156,"articulo 156. la corte constitucional, el consejo superior de la judicatura, la corte",no
157,articulo 157. ningun proyecto sera ley sin los requisitos siguientes:,no
158,articulo 158. todo proyecto de ley debe referirse a una misma materia y seran,no
159,articulo 159. el proyecto de ley que hubiere sido negado en primer debate podra ser,no
160,articulo 160. entre el primero y el segundo debate debera mediar un lapso no inferior a,si
161,"articulo 161. cuando surgieren discrepancias en las camaras respecto de un proyecto,",si
162,articulo 162. los proyectos de ley que no hubieren completado su tramite en una,si
163,articulo 163. el presidente de la republica podra solicitar tramite de urgencia para,si
164,articulo 164. el congreso dara prioridad al tramite de los proyectos de ley aprobatorios,si
165,"articulo 165. aprobado un proyecto de ley por ambas camaras, pasara al gobierno",si
166,articulo 166. el gobierno dispone del termino de seis dias para devolver con,si
167,articulo 167. el proyecto de ley objetado total o parcialmente por el gobierno volvera a,si
168,articulo 168. si el presidente no cumpliere el deber de sancionar las leyes en los,si
169,"articulo 169. el titulo de las leyes debera corresponder precisamente a su contenido, y",si
170,articulo 170. un numero de ciudadanos equivalente a la decima parte del censo                                      capitulo 4,no
171,articulo 171. el senado de la republica estara integrado por cien miembros elegidos,no
172,"articulo 172. para ser elegido senador se requiere ser colombiano de nacimiento,",no
173,articulo 173. son atribuciones del senado:,no
174,articulo 174. corresponde al senado conocer de las acusaciones que formule la,no
175,"articulo 175. en los juicios que se sigan ante el senado, se observaran estas reglas:                                      capitulo 5",no
176,articulo 176. la camara de representantes se elegira en circunscripciones territoriales,no
177,articulo 177. para ser elegido representante se requiere ser ciudadano en ejercicio y,no
178,articulo 178. la camara de representantes tendra las siguientes atribuciones                                        capitulo 6,no
179,articulo 179. no podran ser congresistas:,no
180,articulo 180. los congresistas no podran:,no
181,articulo 181. las incompatibilidades de los congresistas tendran vigencia durante el,no
182,articulo 182. los congresistas deberan poner en conocimiento de la respectiva,no
183,articulo 183. los congresistas perderan su investidura:,no
184,articulo 184. la perdida de la investidura sera decretada por el consejo de estado de,no
185,articulo 185. los congresistas seran inviolables por las opiniones y los votos que,no
186,"articulo 186. de los delitos que cometan los congresistas, conocera en forma privativa",no
187,articulo 187. la asignacion de los miembros del congreso se reajustara cada ano en                                        titulo vii                                       capitulo 1,no
188,articulo 188. el presidente de la republica simboliza la unidad nacional y al jurar el,no
189,"articulo 189. corresponde al presidente de la republica como jefe de estado, jefe del",no
190,articulo 190. el presidente de la republica sera elegido para un periodo de cuatro,no
191,articulo 191. para ser presidente de la republica se requiere ser colombiano por,no
192,articulo 192. el presidente de la republica tomara posesion de su destino ante el,no
193,articulo 193. corresponde al senado conceder licencia al presidente de la republica,no
194,"articulo 194. son faltas absolutas del presidente de la republica su muerte, su",no
195,articulo 195. el encargado del ejecutivo tendra la misma preeminencia y las mismas,no
196,"articulo 196. el presidente de la republica, o quien haga sus veces, no podra",no
197,articulo 197. no podra ser elegido presidente de la republica el ciudadano que a,no
198,"articulo 198. el presidente de la republica, o quien haga sus veces, sera responsable",no
199,"articulo 199. el presidente de la republica, durante el periodo para el que sea elegido,                                      capitulo 2",no
200,"articulo 200. corresponde al gobierno, en relacion con el congreso:",no
201,"articulo 201. corresponde al gobierno, en relacion con la rama judicial:                                     capitulo 3",no
202,articulo 202. el vicepresidente de la republica sera elegido por votacion popular el,no
203,"articulo 203. a falta del vicepresidente cuando estuviera ejerciendo la presidencia,",no
204,articulo 204. para ser elegido vicepresidente se requieren las mismas calidades que,no
205,"articulo 205. en caso de falta absoluta del vicepresidente, el congreso se reunira por                                      capitulo 4",no
206,"articulo 206. el numero, denominacion y orden de precedencia de los ministerios y",no
207,articulo 207. para ser ministro o director de departamento administrativo se requieren,no
208,articulo 208. los ministros y los directores de departamentos administrativos son los                                      capitulo 5,no
209,articulo 209. la funcion administrativa esta al servicio de los intereses generales y se,no
210,articulo 210. las entidades del orden nacional descentralizadas por servicios solo,no
211,articulo 211. la ley senalara las funciones que el presidente de la republica podra                                      capitulo 6,no
212,"articulo 212. el presidente de la republica, con la firma de todos los ministros, podra",no
213,articulo 213. en caso de grave perturbacion del orden publico que atente de manera,no
214,articulo 214. los estados de excepcion a que se refieren los articulos anteriores se,no
215,articulo 215. cuando sobrevengan hechos distintos de los previstos en los articulos                                       capitulo 7,no
216,articulo 216. la fuerza publica estara integrada en forma exclusiva por las fuerzas,no
217,articulo 217. la nacion tendra para su defensa unas fuerzas militares permanentes,no
218,articulo 218. la ley organizara el cuerpo de policia.,no
219,articulo 219. la fuerza publica no es deliberante; no podra reunirse sino por orden de,no
220,articulo 220. los miembros de la fuerza publica no pueden ser privados de sus,no
221,articulo 221. de los delitos cometidos por los miembros de la fuerza publica en,no
222,"articulo 222. la ley determinara los sistemas de promocion profesional, cultural y",no
223,"articulo 223. solo el gobierno puede introducir y fabricar armas, municiones de guerra                                     capitulo 8",no
224,"articulo 224. los tratados, para su validez, deberan ser aprobados por el congreso.",no
225,"articulo 225. la comision asesora de relaciones exteriores, cuya composicion sera",no
226,"articulo 226. el estado promovera la internacionalizacion de las relaciones politicas,",no
227,"articulo 227. el estado promovera la integracion economica, social y politica con las                                      titulo viii                                     capitulo 1",no
228,articulo 228. la administracion de justicia es funcion publica. sus decisiones son,no
229,articulo 229. se garantiza el derecho de toda persona para acceder a la administracion,si
230,"articulo 230. los jueces, en sus providencias, solo estan sometidos al imperio de la",si
231,articulo 231. los magistrados de la corte suprema de justicia y del consejo de,si
232,"articulo 232. para ser magistrado de la corte constitucional, de la corte suprema de",si
233,"articulo 233. los magistrados de la corte constitucional, de la corte suprema de                                        capitulo 2",si
234,articulo 234. la corte suprema de justicia es el maximo tribunal de la jurisdiccion,si
235,articulo 235. son atribuciones de la corte suprema de justicia:                                      capitulo 3,si
236,articulo 236. el consejo de estado tendra el numero impar de magistrados que,si
237,articulo 237. son atribuciones del consejo de estado:,si
238,articulo 238. la jurisdiccion de lo contencioso administrativo podra suspender                                      capitulo 4,si
239,articulo 239. la corte constitucional tendra el numero impar de miembros que,si
240,articulo 240. no podran ser elegidos magistrados de la corte constitucional quienes,no
241,articulo 241. a la corte constitucional se le confia la guarda de la integridad y,no
242,articulo 242. los procesos que se adelanten ante la corte constitucional en las,no
243,articulo 243. los fallos que la corte dicte en ejercicio del control jurisdiccional hacen,no
244,articulo 244. la corte constitucional comunicara al presidente de la republica o al,no
245,articulo 245. el gobierno no podra conferir empleo a los magistrados de la corte                                        capitulo 5,no
246,articulo 246. las autoridades de los pueblos indigenas podran ejercer funciones,no
247,articulo 247. la ley podra crear jueces de paz encargados de resolver en equidad,no
248,articulo 248. unicamente las condenas proferidas en sentencias judiciales en forma                                        capitulo 6,no
249,"articulo 249. la fiscalia general de la nacion estara integrada por el fiscal general,",no
250,"articulo 250. corresponde a la fiscalia general de la nacion, de oficio o mediante",no
251,articulo 251. son funciones especiales del fiscal general de la nacion:,no
252,articulo 252. aun durante los estados de excepcion de que trata la constitucion en sus,no
253,articulo 253. la ley determinara lo relativo a la estructura y funcionamiento de la                                      capitulo 7,no
254,articulo 254. el consejo superior de la judicatura se dividira en dos salas:,no
255,articulo 255. para ser miembro del consejo superior de la judicatura se requiere ser,no
256,articulo 256. corresponden al consejo superior de la judicatura o a los consejos,no
257,"articulo 257. con sujecion a la ley, el consejo superior de la judicatura cumplira las                                        titulo ix                                       capitulo 1",no
258,articulo 258. el voto es un derecho y un deber ciudadano. en todas las elecciones los,no
259,"articulo 259. quienes elijan gobernadores y alcaldes, imponen por mandato al elegido",no
260,articulo 260. los ciudadanos eligen en forma directa presidente y vicepresidente de la,no
261,articulo 261. ningun cargo de eleccion popular en corporaciones publicas tendra,no
262,articulo 262. la eleccion del presidente y vicepresidente no podra coincidir con otra,no
263,"articulo 263. para asegurar la representacion proporcional de los partidos, cuando se                                       capitulo 2",no
264,articulo 264. el consejo nacional electoral se compondra del numero de miembros,no
265,"articulo 265. el consejo nacional electoral tendra, de conformidad con la ley, las",no
266,articulo 266. el registrador nacional del estado civil sera elegido por el consejo                                         titulo x                                        capitulo 1,no
267,articulo 267. el control fiscal es una funcion publica que ejercera la contraloria general,no
268,articulo 268. el contralor general de la republica tendra las siguientes atribuciones:,no
269,"articulo 269. en las entidades publicas, las autoridades correspondientes estan",no
270,articulo 270. la ley organizara las formas y los sistemas de participacion ciudadana,no
271,articulo 271. los resultados de las indagaciones preliminares adelantadas por la,no
272,"articulo 272. la vigilancia de la gestion fiscal de los departamentos, distritos y",no
273,"articulo 273. a solicitud de cualquiera de los proponentes, el contralor general de la",no
274,articulo 274. la vigilancia de la gestion fiscal de la contraloria general de la republica                                         capitulo 2,no
275,articulo 275. el procurador general de la nacion es el supremo director del ministerio,no
276,"articulo 276. el procurador general de la nacion sera elegido por el senado, para un",no
277,"articulo 277. el procurador general de la nacion, por si o por medio de sus delegados",no
278,articulo 278. el procurador general de la nacion ejercera directamente las siguientes,no
279,articulo 279. la ley determinara lo relativo a la estructura y al funcionamiento de la,no
280,"articulo 280. los agentes del ministerio publico tendran las mismas calidades,",no
281,articulo 281. el defensor del pueblo formara parte del ministerio publico y ejercera sus,no
282,"articulo 282. el defensor del pueblo velara por la promocion, el ejercicio y la",no
283,articulo 283. la ley determinara lo relativo a la organizacion y funcionamiento de la,no
284,"articulo 284. salvo las excepciones previstas en la constitucion y la ley, el procurador                                           titulo xi                                       capitulo 1",no
285,"articulo 285. fuera de la division general del territorio, habra las que determine la ley",no
286,"articulo 286. son entidades territoriales los departamentos, los distritos, los municipios",no
287,articulo 287. las entidades territoriales gozan de autonomia para la gestion de sus,no
288,articulo 288. la ley organica de ordenamiento territorial establecera la distribucion de,no
289,"articulo 289. por mandato de la ley, los departamentos y municipios ubicados en zonas",no
290,"articulo 290. con el cumplimiento de los requisitos y formalidades que senale la ley, y",si
291,articulo 291. los miembros de las corporaciones publicas de las entidades territoriales,si
292,articulo 292. los diputados y concejales y sus parientes dentro del grado que senale la,si
293,"articulo 293. sin perjuicio de lo establecido en la constitucion, la ley determinara las",si
294,articulo 294. la ley no podra conceder exenciones ni tratamientos preferenciales en,si
295,"articulo 295. las entidades territoriales podran emitir titulos y bonos de deuda publica,",si
296,articulo 296. para la conservacion del orden publico o para su restablecimiento donde                                      capitulo 2,si
297,articulo 297. el congreso nacional puede decretar la formacion de nuevos,si
298,articulo 298. los departamentos tienen autonomia para la administracion de los,si
299,articulo 299. en cada departamento habra una corporacion administrativa de eleccion,si
300,articulo 300. corresponde a las asambleas departamentales por medio de,no
301,articulo 301. la ley senalara los casos en los cuales las asambleas podran delegar en,no
302,articulo 302. la ley podra establecer para uno o varios departamentos diversas,no
303,articulo 303. en cada uno de los departamentos habra un gobernador que sera jefe de,no
304,"articulo 304. el presidente de la republica, en los casos taxativamente senalados por",no
305,articulo 305. son atribuciones del gobernador:,no
306,articulo 306. dos o mas departamentos podran constituirse en regiones administrativas,no
307,"articulo 307. la respectiva ley organica, previo concepto de la comision de",no
308,articulo 308. la ley podra limitar las apropiaciones departamentales destinadas a,no
309,"articulo 309. erigense en departamento las intendencias de arauca, casanare,",no
310,"articulo 310. el departamento archipielago de san andres, providencia y santa                                       capitulo 3",no
311,articulo 311. al municipio como entidad fundamental de la division,no
312,articulo 312. en cada municipio habra una corporacion administrativa elegida,no
313,articulo 313. corresponde a los concejos:,no
314,"articulo 314. en cada municipio habra un alcalde, jefe de la administracion local y",no
315,articulo 315. son atribuciones del alcalde:,no
316,articulo 316. en las votaciones que se realicen para la eleccion de autoridades locales,no
317,articulo 317. solo los municipios podran gravar la propiedad inmueble. lo anterior no,no
318,articulo 318. con el fin de mejorar la prestacion de los servicios y asegurar la,no
319,"articulo 319. cuando dos o mas municipios tengan relaciones economicas, sociales y",no
320,articulo 320. la ley podra establecer categorias de municipios de acuerdo con su,no
321,articulo 321. las provincias se constituyen con municipios o territorios indigenas                                        capitulo 4,no
322,"articulo 322. santa fe de bogota, capital de la republica y del departamento de",no
323,articulo 323. el concejo distrital se compondra de un concejal por cada ciento,no
324,articulo 324. las juntas administradoras locales distribuiran y apropiaran las partidas,no
325,articulo 325. con el fin de garantizar la ejecucion de planes y programas de desarrollo,no
326,articulo 326. los municipios circunvecinos podran incorporarse al distrito capital si asi,no
327,articulo 327. en las elecciones de gobernador y de diputados a la asamblea,no
328,articulo 328. el distrito turistico y cultural de cartagena de indias y el distrito,no
329,articulo 329. la conformacion de las entidades territoriales indigenas se hara con,no
330,"articulo 330. de conformidad con la constitucion y las leyes, los territorios indigenas",no
331,articulo 331. crease la corporacion autonoma regional del rio grande de la                                          titulo xii                                          capitulo 1,no
332,articulo 332. el estado es propietario del subsuelo y de los recursos naturales no,no
333,"articulo 333. la actividad economica y la iniciativa privada son libres, dentro de los",no
334,articulo 334. la direccion general de la economia estara a cargo del estado. este,no
335,"articulo 335. las actividades financiera, bursatil, aseguradora y cualquier otra",no
336,"articulo 336. ningun monopolio podra establecerse sino como arbitrio rentistico, con",no
337,"articulo 337. la ley podra establecer para las zonas de frontera, terrestres y maritimas,",no
338,"articulo 338. en tiempo de paz, solamente el congreso, las asambleas                                       capitulo 2",no
339,articulo 339. habra un plan nacional de desarrollo conformado por una parte general,no
340,articulo 340. habra un consejo nacional de planeacion integrado por representantes,no
341,articulo 341. el gobierno elaborara el plan nacional de desarrollo con participacion,no
342,articulo 342. la correspondiente ley organica reglamentara todo lo relacionado con los,no
343,"articulo 343. la entidad nacional de planeacion que senale la ley, tendra a su cargo el",no
344,articulo 344. los organismos departamentales de planeacion haran la evaluacion de                                      capitulo 3,no
345,articulo 345. en tiempo de paz no se podra percibir contribucion o impuesto que no,no
346,articulo 346. el gobierno formulara anualmente el presupuesto de rentas y ley de,no
347,articulo 347. el proyecto de ley de apropiaciones debera contener la totalidad de los,no
348,"articulo 348. si el congreso no expidiere el presupuesto, regira el presentado por el",no
349,"articulo 349. durante los tres primeros meses de cada legislatura, y estrictamente de",no
350,articulo 350. la ley de apropiaciones debera tener un componente denominado gasto,no
351,articulo 351. el congreso no podra aumentar ninguna de las partidas del presupuesto,no
352,"articulo 352. ademas de lo senalado en esta constitucion, la ley organica del",no
353,"articulo 353. los principios y las disposiciones establecidos en este titulo se aplicaran,",no
354,"articulo 354. habra un contador general, funcionario de la rama ejecutiva, quien",no
355,articulo 355. ninguna de las ramas u organos del poder publico podra decretar                                      capitulo 4,no
356,"articulo 356. salvo lo dispuesto por la constitucion, la ley, a iniciativa del gobierno,",no
357,articulo 357. los municipios participaran en los ingresos corrientes de la nacion. la,no
358,"articulo 358. para los efectos contemplados en los dos articulos anteriores, entiendese",no
359,articulo 359. no habra rentas nacionales de destinacion especifica.,no
360,articulo 360. la ley determinara las condiciones para la explotacion de los recursos,no
361,articulo 361. con los ingresos provenientes de las regalias que no sean asignados a,no
362,articulo 362. los bienes y rentas tributarias o no tributarias o provenientes de la,no
363,"articulo 363. el sistema tributario se funda en los principios de equidad, eficiencia y",no
364,articulo 364. el endeudamiento interno y externo de la nacion y de las entidades                                       capitulo 5,no
365,articulo 365. los servicios publicos son inherentes a la finalidad social del estado. es,no
366,articulo 366. el bienestar general y el mejoramiento de la calidad de vida de la,no
367,articulo 367. la ley fijara las competencias y responsabilidades relativas a la,no
368,"articulo 368. la nacion, los departamentos, los distritos, los municipios y las entidades",no
369,"articulo 369. la ley determinara los deberes y derechos de los usuarios, el regimen de",no
370,"articulo 370. corresponde al presidente de la republica senalar, con sujecion a la ley,                                       capitulo 6",no
371,articulo 371. el banco de la republica ejercera las funciones de banca central. estara,no
372,"articulo 372. la junta directiva del banco de la republica sera la autoridad monetaria,",no
373,"articulo 373. el estado, por intermedio del banco de la republica, velara por el                                       titulo xiii",no
374,"articulo 374. la constitucion politica podra ser reformada por el congreso, por una",no
375,"articulo 375. podran presentar proyectos de acto legislativo el gobierno, diez miembros",no
376,articulo 376. mediante ley aprobada por mayoria de los miembros de una y otra,no
377,articulo 377. deberan someterse a referendo las reformas constitucionales aprobadas,no
378,articulo 378. por iniciativa del gobierno o de los ciudadanos en las condiciones del,no
379,"articulo 379. los actos legislativos, la convocatoria a referendo, la consulta popular o",no
380,articulo 380. queda derogada la constitucion hasta ahora vigente con todas sus                                        capitulo 1,no
transitorio 1,articulo transitorio 1. convocase a elecciones generales del congreso de la republica,no
